horario,ear,status
17:36:58,0.198,Fadiga
17:36:58,0.182,Fadiga
17:36:58,0.161,Fadiga
17:36:58,0.149,Fadiga
17:36:58,0.153,Fadiga
17:36:58,0.149,Fadiga
17:36:58,0.146,Fadiga
17:36:58,0.153,Fadiga
17:36:58,0.155,Fadiga
17:36:58,0.155,Fadiga
17:36:58,0.167,Fadiga
17:36:58,0.189,Fadiga
17:36:58,0.19,Fadiga
17:36:58,0.194,Fadiga
17:36:58,0.198,Fadiga
17:36:59,0.181,Fadiga
17:36:59,0.201,Fadiga
17:36:59,0.19,Fadiga
17:36:59,0.183,Fadiga
17:36:59,0.188,Fadiga
17:36:59,0.188,Fadiga
17:36:59,0.179,Fadiga
17:36:59,0.172,Fadiga
17:36:59,0.183,Fadiga
17:36:59,0.194,Fadiga
17:36:59,0.189,Fadiga
17:36:59,0.198,Fadiga
17:36:59,0.182,Fadiga
17:36:59,0.186,Fadiga
17:36:59,0.18,Fadiga
17:36:59,0.18,Fadiga
17:36:59,0.186,Fadiga
17:36:59,0.184,Fadiga
17:36:59,0.19,Fadiga
17:36:59,0.193,Fadiga
17:36:59,0.148,Fadiga
17:36:59,0.162,Fadiga
17:36:59,0.125,Fadiga
17:36:59,0.117,Fadiga
17:36:59,0.124,Fadiga
17:36:59,0.14,Fadiga
17:36:59,0.143,Fadiga
17:36:59,0.143,Fadiga
17:36:59,0.149,Fadiga
17:36:59,0.156,Fadiga
17:36:59,0.163,Fadiga
17:37:00,0.153,Fadiga
17:37:00,0.153,Fadiga
17:37:00,0.156,Fadiga
17:37:00,0.126,Fadiga
17:37:00,0.139,Fadiga
17:37:00,0.137,Fadiga
17:37:00,0.142,Fadiga
17:37:00,0.146,Fadiga
17:37:00,0.154,Fadiga
17:37:00,0.172,Fadiga
17:37:00,0.167,Fadiga
17:37:00,0.178,Fadiga
17:37:00,0.165,Fadiga
17:37:00,0.164,Fadiga
17:37:00,0.165,Fadiga
17:37:00,0.15,Fadiga
17:37:00,0.151,Fadiga
17:37:01,0.14,Fadiga
17:37:01,0.163,Fadiga
17:37:01,0.205,Fadiga
17:37:01,0.199,Fadiga
17:37:01,0.142,Fadiga
17:37:01,0.131,Fadiga
17:37:01,0.199,Fadiga
17:37:02,0.181,Fadiga
17:37:02,0.159,Fadiga
17:37:02,0.17,Fadiga
17:37:02,0.195,Fadiga
17:37:02,0.185,Fadiga
17:37:02,0.167,Fadiga
17:37:02,0.17,Fadiga
17:37:03,0.175,Fadiga
17:37:03,0.177,Fadiga
17:37:03,0.176,Fadiga
17:37:03,0.185,Fadiga
17:37:03,0.172,Fadiga
17:37:03,0.164,Fadiga
